Age,Height,Weight,Gender,injury,equipment,level,Exercise
49,163,65,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
50,163,64,female,Upper,Body Only,Beginner,Arom Side lying Abduction
51,163,63,female,Lower,Body Only,Beginner,Air Squat
36,184,80,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
37,184,87,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
38,184,83,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
39,184,89,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
40,184,90,male,Upper,Body Only,Beginner,Arom Side lying Abduction
41,184,93,male,Lower,Body Only,Beginner,Air Squat
42,184,94,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
43,184,96,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
44,184,97,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
45,184,85,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
46,184,99,male,Upper,Body Only,Beginner,Arom Side lying Abduction
47,184,83,male,Lower,Body Only,Beginner,Air Squat
48,184,97,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
49,184,81,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
50,184,90,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
51,184,93,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
36,164,60,female,Upper,Body Only,Beginner,Arom Side lying Abduction
37,164,61,female,Lower,Body Only,Beginner,Air Squat
38,164,62,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
39,164,63,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
40,164,64,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
41,164,65,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
42,164,66,female,Upper,Body Only,Beginner,Arom Side lying Abduction
43,164,67,female,Lower,Body Only,Beginner,Air Squat
44,164,68,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
45,164,69,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
46,164,70,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
47,164,71,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
48,164,72,female,Upper,Body Only,Beginner,Arom Side lying Abduction
49,164,73,female,Lower,Body Only,Beginner,Air Squat
50,164,74,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
51,164,75,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
36,185,80,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
37,185,81,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
38,185,82,male,Upper,Body Only,Beginner,Arom Side lying Abduction
39,185,83,male,Lower,Body Only,Beginner,Air Squat
40,185,84,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
41,185,85,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
42,185,86,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
43,185,87,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
44,185,89,male,Upper,Body Only,Beginner,Arom Side lying Abduction
45,185,90,male,Lower,Body Only,Beginner,Air Squat
46,185,92,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
47,185,94,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
48,185,96,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
49,185,98,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
50,185,97,male,Upper,Body Only,Beginner,Arom Side lying Abduction
51,185,95,male,Lower,Body Only,Beginner,Air Squat
36,165,60,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
37,165,62,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
38,165,64,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
39,165,67,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
40,165,68,female,Upper,Body Only,Beginner,Arom Side lying Abduction
41,165,69,female,Lower,Body Only,Beginner,Air Squat
42,165,71,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
43,165,73,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
44,165,75,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
45,165,77,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
46,165,79,female,Upper,Body Only,Beginner,Arom Side lying Abduction
47,165,83,female,Lower,Body Only,Beginner,Air Squat
48,165,82,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
49,165,86,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
50,165,84,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
51,165,88,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
36,186,83,male,Upper,Body Only,Beginner,Arom Side lying Abduction
37,186,85,male,Lower,Body Only,Beginner,Air Squat
38,186,90,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
39,186,96,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
40,186,95,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
41,186,92,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
42,186,88,male,Upper,Body Only,Beginner,Arom Side lying Abduction
43,186,89,male,Lower,Body Only,Beginner,Air Squat
44,186,83,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
45,186,87,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
46,186,99,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
47,186,98,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
48,186,97,male,Upper,Body Only,Beginner,Arom Side lying Abduction
49,186,93,male,Lower,Body Only,Beginner,Air Squat
50,186,94,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
51,186,95,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
36,186,96,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
37,186,85,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
38,186,87,male,Upper,Body Only,Beginner,Arom Side lying Abduction
39,186,83,male,Lower,Body Only,Beginner,Air Squat
40,186,92,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
41,186,96,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
42,186,94,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
43,186,100,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
44,186,101,male,Upper,Body Only,Beginner,Arom Side lying Abduction
45,186,87,male,Lower,Body Only,Beginner,Air Squat
46,186,88,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
47,186,85,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
48,187,84,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
49,187,83,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
50,187,82,male,Upper,Body Only,Beginner,Arom Side lying Abduction
51,187,81,male,Lower,Body Only,Beginner,Air Squat
36,187,90,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
37,187,92,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
38,187,93,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
39,187,98,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
40,187,100,male,Upper,Body Only,Beginner,Arom Side lying Abduction
41,187,85,male,Lower,Body Only,Beginner,Air Squat
42,187,81,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
43,187,101,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
44,187,83,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
45,187,82,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
46,187,86,male,Upper,Body Only,Beginner,Arom Side lying Abduction
47,187,87,male,Lower,Body Only,Beginner,Air Squat
48,187,89,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
49,187,90,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
50,187,93,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
51,187,97,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
36,166,83,female,Upper,Body Only,Beginner,Arom Side lying Abduction
37,166,84,female,Lower,Body Only,Beginner,Air Squat
38,166,85,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
39,166,86,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
40,166,87,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
41,166,88,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
42,166,75,female,Upper,Body Only,Beginner,Arom Side lying Abduction
43,166,74,female,Lower,Body Only,Beginner,Air Squat
44,166,73,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
45,166,72,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
46,166,70,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
47,166,67,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
48,166,66,female,Upper,Body Only,Beginner,Arom Side lying Abduction
49,166,65,female,Lower,Body Only,Beginner,Air Squat
50,166,64,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
51,166,63,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
36,166,62,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
37,166,61,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
38,166,59,female,Upper,Body Only,Beginner,Arom Side lying Abduction
39,166,58,female,Lower,Body Only,Beginner,Air Squat
40,166,57,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
41,166,56,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
42,166,55,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
43,167,59,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
44,167,77,female,Upper,Body Only,Beginner,Arom Side lying Abduction
45,167,80,female,Lower,Body Only,Beginner,Air Squat
46,167,81,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
47,167,82,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
48,167,83,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
49,167,84,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
50,167,85,female,Upper,Body Only,Beginner,Arom Side lying Abduction
51,167,86,female,Lower,Body Only,Beginner,Air Squat
36,167,63,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
37,167,64,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
38,167,65,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
39,167,68,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
40,167,69,female,Upper,Body Only,Beginner,Arom Side lying Abduction
41,167,70,female,Lower,Body Only,Beginner,Air Squat
42,167,73,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
43,167,74,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
44,167,76,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
45,167,78,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
46,167,79,female,Upper,Body Only,Beginner,Arom Side lying Abduction
47,167,66,female,Lower,Body Only,Beginner,Air Squat
48,167,65,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
49,167,69,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
50,167,63,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
51,167,83,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
36,188,96,male,Upper,Body Only,Beginner,Arom Side lying Abduction
37,188,85,male,Lower,Body Only,Beginner,Air Squat
38,188,87,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
39,188,83,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
40,188,92,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
41,188,96,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
42,188,94,male,Upper,Body Only,Beginner,Arom Side lying Abduction
43,188,100,male,Lower,Body Only,Beginner,Air Squat
44,188,101,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
45,188,87,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
46,188,88,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
47,188,85,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
48,188,84,male,Upper,Body Only,Beginner,Arom Side lying Abduction
49,188,83,male,Lower,Body Only,Beginner,Air Squat
50,188,82,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
51,188,81,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
36,188,90,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
37,188,92,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
38,188,93,male,Upper,Body Only,Beginner,Arom Side lying Abduction
39,188,98,male,Lower,Body Only,Beginner,Air Squat
40,188,100,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
41,188,85,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
42,188,81,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
43,188,101,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
44,188,83,male,Upper,Body Only,Beginner,Arom Side lying Abduction
45,189,82,male,Lower,Body Only,Beginner,Air Squat
46,189,86,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
47,189,87,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
48,189,89,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
49,189,90,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
50,189,100,male,Upper,Body Only,Beginner,Arom Side lying Abduction
51,189,101,male,Lower,Body Only,Beginner,Air Squat
36,189,98,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
37,189,97,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
38,189,96,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
39,189,97,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
40,189,92,male,Upper,Body Only,Beginner,Arom Side lying Abduction
41,189,96,male,Lower,Body Only,Beginner,Air Squat
42,189,95,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
43,189,93,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
44,189,87,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
45,189,89,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
46,189,91,male,Upper,Body Only,Beginner,Arom Side lying Abduction
47,189,93,male,Lower,Body Only,Beginner,Air Squat
48,189,96,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
49,189,95,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
50,189,99,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
51,189,99,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
36,168,75,female,Upper,Body Only,Beginner,Arom Side lying Abduction
37,168,74,female,Lower,Body Only,Beginner,Air Squat
38,168,73,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
39,168,72,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
40,168,70,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
41,168,67,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
42,168,66,female,Upper,Body Only,Beginner,Arom Side lying Abduction
43,168,65,female,Lower,Body Only,Beginner,Air Squat
44,168,64,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
45,168,63,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
46,168,62,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
47,168,61,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
48,168,59,female,Upper,Body Only,Beginner,Arom Side lying Abduction
49,168,58,female,Lower,Body Only,Beginner,Air Squat
50,168,57,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
51,168,56,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
36,168,55,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
37,168,59,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
38,168,77,female,Upper,Body Only,Beginner,Arom Side lying Abduction
39,168,80,female,Lower,Body Only,Beginner,Air Squat
40,168,81,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
41,168,82,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
42,169,80,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
43,169,81,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
44,169,82,female,Upper,Body Only,Beginner,Arom Side lying Abduction
45,169,83,female,Lower,Body Only,Beginner,Air Squat
46,169,84,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
47,169,85,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
48,169,86,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
49,169,87,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
50,169,78,female,Upper,Body Only,Beginner,Arom Side lying Abduction
51,169,76,female,Lower,Body Only,Beginner,Air Squat
36,169,74,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
37,169,72,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
38,169,70,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
39,169,73,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
40,169,79,female,Upper,Body Only,Beginner,Arom Side lying Abduction
41,169,62,female,Lower,Body Only,Beginner,Air Squat
42,169,64,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
43,169,69,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
44,169,68,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
45,169,63,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
46,169,90,female,Upper,Body Only,Beginner,Arom Side lying Abduction
47,169,91,female,Lower,Body Only,Beginner,Air Squat
48,169,80,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
49,169,85,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
50,169,87,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
51,169,83,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
36,190,85,male,Upper,Body Only,Beginner,Arom Side lying Abduction
37,190,87,male,Lower,Body Only,Beginner,Air Squat
38,190,89,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
39,190,91,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
40,190,92,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
41,190,93,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
42,190,94,male,Upper,Body Only,Beginner,Arom Side lying Abduction
43,190,95,male,Lower,Body Only,Beginner,Air Squat
44,190,96,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
45,190,97,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
46,190,98,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
47,190,100,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
48,190,101,male,Upper,Body Only,Beginner,Arom Side lying Abduction
49,190,91,male,Lower,Body Only,Beginner,Air Squat
50,190,90,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
51,190,92,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
36,190,93,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
37,190,94,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
38,190,95,male,Upper,Body Only,Beginner,Arom Side lying Abduction
39,190,96,male,Lower,Body Only,Beginner,Air Squat
40,190,97,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
41,190,98,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
42,190,99,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
43,191,99,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
44,191,100,male,Upper,Body Only,Beginner,Arom Side lying Abduction
45,191,101,male,Lower,Body Only,Beginner,Air Squat
46,191,100,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
47,191,100,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
48,191,101,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
49,191,102,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
50,191,102,male,Upper,Body Only,Beginner,Arom Side lying Abduction
51,191,102,male,Lower,Body Only,Beginner,Air Squat
36,191,102,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
37,191,102,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
38,191,102,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
39,191,102,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
40,191,98,male,Upper,Body Only,Beginner,Arom Side lying Abduction
41,191,94,male,Lower,Body Only,Beginner,Air Squat
42,191,96,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
43,191,97,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
44,191,93,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
45,191,95,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
46,191,90,male,Upper,Body Only,Beginner,Arom Side lying Abduction
47,191,84,male,Lower,Body Only,Beginner,Air Squat
48,191,85,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
49,191,88,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
50,191,89,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
51,191,90,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
36,170,82,female,Upper,Body Only,Beginner,Arom Side lying Abduction
37,170,83,female,Lower,Body Only,Beginner,Air Squat
38,170,84,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
39,170,85,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
40,170,86,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
41,170,87,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
42,170,78,female,Upper,Body Only,Beginner,Arom Side lying Abduction
43,170,76,female,Lower,Body Only,Beginner,Air Squat
44,170,74,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
45,170,72,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
46,170,70,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
47,170,73,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
48,170,79,female,Upper,Body Only,Beginner,Arom Side lying Abduction
49,170,62,female,Lower,Body Only,Beginner,Air Squat
50,170,64,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
51,170,69,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
36,170,68,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
37,170,63,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
38,170,90,female,Upper,Body Only,Beginner,Arom Side lying Abduction
39,170,91,female,Lower,Body Only,Beginner,Air Squat
40,170,80,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
41,170,85,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
42,170,87,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
43,171,66,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
44,171,67,female,Upper,Body Only,Beginner,Arom Side lying Abduction
45,171,68,female,Lower,Body Only,Beginner,Air Squat
46,171,69,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
47,171,70,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
48,171,71,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
49,171,72,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
50,171,73,female,Upper,Body Only,Beginner,Arom Side lying Abduction
51,171,74,female,Lower,Body Only,Beginner,Air Squat
36,171,75,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
37,171,76,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
38,171,78,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
39,171,77,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
40,171,79,female,Upper,Body Only,Beginner,Arom Side lying Abduction
41,171,68,female,Lower,Body Only,Beginner,Air Squat
42,171,80,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
43,171,83,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
44,171,85,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
45,171,88,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
46,171,89,female,Upper,Body Only,Beginner,Arom Side lying Abduction
47,171,90,female,Lower,Body Only,Beginner,Air Squat
48,171,92,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
49,171,95,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
50,171,85,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
51,171,83,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
36,184,80,male,Upper,Body Only,Beginner,Arom Side lying Abduction
37,184,87,male,Lower,Body Only,Beginner,Air Squat
38,184,83,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
39,184,89,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
40,184,90,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
41,184,93,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
42,184,94,male,Upper,Body Only,Beginner,Arom Side lying Abduction
43,184,96,male,Lower,Body Only,Beginner,Air Squat
44,184,97,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
45,184,85,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
46,184,99,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
47,184,83,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
48,184,97,male,Upper,Body Only,Beginner,Arom Side lying Abduction
49,184,81,male,Lower,Body Only,Beginner,Air Squat
50,184,90,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
51,184,93,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
36,164,60,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
